node_1,node_2
0,1
3,0
1,4
5,3
4,8
9,5
8,14
15,9
14,21
22,15
21,30
31,22
30,40
41,31
52,41
40,53
53,66
67,52
81,67
66,82
98,81
82,99
99,116
117,98
116,136
138,117
136,157
160,138
157,180
184,160
180,204
204,205
210,184
205,231
231,232
239,210
232,260
260,261
270,239
261,292
292,293
293,294
305,270
294,327
341,305
327,364
364,365
380,341
365,403
403,404
421,380
404,445
464,421
445,488
488,489
509,464
489,534
534,535
557,509
535,582
582,583
607,557
583,633
633,634
660,607
634,686
686,687
715,660
687,742
742,743
773,715
743,801
801,802
834,773
802,862
862,863
897,834
863,926
926,927
963,897
927,992
1030,963
992,1060
1060,1061
1100,1030
1061,1130
1130,1131
1171,1100
1131,1203
1203,1204
1246,1171
1204,1278
1278,1279
1322,1246
1279,1356
1356,1357
1402,1322
1357,1436
1436,1437
1484,1402
1437,1519
1519,1520
1568,1484
1520,1604
1604,1605
1655,1568
1605,1692
1692,1693
1745,1655
1782,1745
1693,1783
1783,1784
1875,1782
1877,1875
1784,1878
1972,1877
1974,1972
1878,1975
1975,1976
2074,1974
2076,2074
1976,2077
2077,2078
2179,2076
2181,2179
2078,2182
2182,2183
2287,2181
2289,2287
2183,2292
2398,2289
2292,2402
2507,2398
2510,2507
2402,2513
2620,2510
2622,2620
2513,2625
2731,2622
2733,2731
2625,2736
2844,2733
2846,2844
2736,2849
2958,2846
2960,2958
2849,2963
3071,2960
3073,3071
2963,3076
3184,3073
3186,3184
3076,3189
3299,3186
3301,3299
3189,3304
3413,3301
3415,3413
3304,3418
3529,3415
3531,3529
3418,3534
3645,3531
3534,3649
3759,3645
3762,3759
3649,3765
3875,3762
3877,3875
3765,3880
3992,3877
3994,3992
3880,3997
4109,3994
4111,4109
3997,4114
4227,4111
4229,4227
4114,4232
4346,4229
4348,4346
4232,4351
4466,4348
4468,4466
4351,4471
4587,4468
4589,4587
4471,4592
4709,4589
4711,4709
4592,4714
4833,4711
4714,4836
4955,4833
4956,4955
4836,4959
5078,4956
5080,5078
4959,5083
5203,5080
5205,5203
5083,5208
5330,5205
5331,5330
5208,5334
5457,5331
5334,5460
5581,5457
5460,5584
5703,5581
5584,5706
5823,5703
5706,5826
5941,5823
5826,5944
6057,5941
5944,6060
6172,6057
6060,6175
6284,6172
6175,6287
6394,6284
6287,6397
6502,6394
6397,6505
6608,6502
6505,6611
6713,6608
6611,6716
6815,6713
6716,6818
6915,6815
6818,6918
7013,6915
6918,7016
7109,7013
7016,7112
7203,7109
7112,7206
7296,7203
7206,7299
7387,7296
7299,7390
7477,7387
7390,7480
7565,7477
7480,7568
7652,7565
7568,7655
7737,7652
7655,7740
7821,7737
7740,7824
7903,7821
7824,7906
7984,7903
7906,7987
8063,7984
7987,8066
8141,8063
8066,8144
8217,8141
8144,8220
8291,8217
8220,8294
8365,8291
8294,8368
8437,8365
8368,8440
8507,8437
8440,8510
8575,8507
8510,8578
8642,8575
8578,8645
8707,8642
8645,8710
8771,8707
8710,8774
8833,8771
8774,8836
8894,8833
8836,8897
8953,8894
8897,8956
9011,8953
8956,9014
9067,9011
9014,9070
9122,9067
9070,9125
9175,9122
9125,9178
9227,9175
9178,9230
9277,9227
9230,9280
9326,9277
9280,9329
9373,9326
9329,9376
9419,9373
9376,9422
9463,9419
9422,9466
9505,9463
9466,9508
9546,9505
9508,9549
9585,9546
9549,9588
9623,9585
9588,9626
9659,9623
9626,9662
9694,9659
9662,9697
9727,9694
9697,9730
9759,9727
9730,9762
9789,9759
9762,9792
9818,9789
9792,9821
9845,9818
9821,9848
9871,9845
9848,9874
9895,9871
9874,9898
9918,9895
9898,9921
9939,9918
9921,9942
9959,9939
9942,9962
9977,9959
9962,9980
9994,9977
9980,9997
10009,9994
9997,10012
10023,10009
10012,10026
10035,10023
10026,10038
10045,10035
10038,10048
10054,10045
10048,10057
10061,10054
10057,10064
10067,10061
10064,10069
10071,10067
10069,10073
10074,10071
10073,10075
10075,10074
0,1
3,0
1,4
7,3
4,8
13,7
8,14
20,13
14,21
29,20
21,30
39,29
30,40
51,39
40,52
65,51
52,66
80,65
66,81
97,80
81,98
115,97
98,116
135,115
116,136
156,135
136,157
179,156
157,180
203,179
180,204
204,205
230,203
205,231
231,232
259,230
232,260
260,261
291,259
261,292
292,293
325,291
293,326
326,327
362,325
327,363
363,364
401,362
364,402
402,403
443,401
403,444
444,445
487,443
445,488
533,487
488,534
534,535
581,533
535,582
582,583
632,581
583,633
633,634
686,632
634,687
687,688
742,686
688,743
743,744
801,742
744,802
802,803
862,801
803,863
863,864
926,862
864,927
927,928
992,926
928,993
993,994
1061,992
994,1062
1131,1061
1062,1132
1132,1133
1204,1131
1133,1205
1205,1206
1279,1204
1206,1280
1280,1281
1357,1279
1281,1358
1358,1359
1437,1357
1359,1438
1438,1439
1520,1437
1439,1521
1521,1522
1605,1520
1522,1606
1606,1607
1693,1605
1607,1694
1694,1695
1783,1693
1695,1784
1784,1785
1876,1783
1785,1877
1970,1876
1877,1971
1971,1972
2067,1970
1972,2068
2068,2069
2167,2067
2069,2168
2168,2169
2269,2167
2169,2272
2374,2269
2272,2377
2478,2374
2377,2481
2581,2478
2481,2584
2683,2581
2584,2686
2785,2683
2686,2788
2887,2785
2788,2890
2988,2887
2890,2991
3088,2988
2991,3091
3188,3088
3091,3191
3288,3188
3191,3291
3388,3288
3291,3391
3486,3388
3391,3489
3584,3486
3489,3587
3681,3584
3587,3684
3778,3681
3684,3781
3874,3778
3781,3877
3970,3874
3877,3973
4066,3970
3973,4069
4162,4066
4069,4165
4258,4162
4165,4261
4354,4258
4261,4357
4450,4354
4357,4453
4546,4450
4453,4549
4642,4546
4549,4645
4738,4642
4645,4741
4834,4738
4741,4837
4930,4834
4837,4933
5026,4930
4933,5029
5122,5026
5029,5125
5218,5122
5125,5221
5314,5218
5221,5317
5410,5314
5317,5413
5506,5410
5413,5509
5602,5506
5509,5605
5698,5602
5605,5701
5794,5698
5701,5797
5890,5794
5797,5893
5986,5890
5893,5989
6082,5986
5989,6085
6178,6082
6085,6181
6274,6178
6181,6277
6370,6274
6277,6373
6466,6370
6373,6469
6562,6466
6469,6565
6658,6562
6565,6661
6754,6658
6661,6757
6850,6754
6757,6853
6946,6850
6853,6949
7042,6946
6949,7045
7138,7042
7045,7141
7234,7138
7141,7237
7330,7234
7237,7333
7426,7330
7333,7429
7522,7426
7429,7525
7618,7522
7525,7621
7714,7618
7621,7717
7810,7714
7717,7813
7906,7810
7813,7909
8002,7906
7909,8005
8098,8002
8005,8101
8194,8098
8101,8197
8290,8194
8197,8293
8386,8290
8293,8389
8482,8386
8389,8485
8578,8482
8485,8581
8674,8578
8581,8677
8770,8674
8677,8773
8866,8770
8773,8869
8962,8866
8869,8965
9058,8962
8965,9061
9154,9058
9061,9157
9250,9154
9157,9253
9346,9250
9253,9349
9442,9346
9349,9445
9538,9442
9445,9541
9634,9538
9541,9637
9730,9634
9637,9733
9826,9730
9733,9829
9922,9826
9829,9925
10018,9922
9925,10021
10114,10018
10021,10117
10210,10114
10117,10213
10306,10210
10213,10309
10402,10306
10309,10405
10498,10402
10405,10501
10594,10498
10501,10597
10690,10594
10597,10693
10786,10690
10693,10789
10882,10786
10789,10885
10978,10882
10885,10981
11074,10978
10981,11077
11170,11074
11077,11173
11266,11170
11173,11269
11362,11266
11269,11365
11458,11362
11365,11461
11554,11458
11461,11557
11650,11554
11557,11653
11746,11650
11653,11749
11842,11746
11749,11845
11938,11842
11845,11941
12034,11938
11941,12037
12130,12034
12037,12133
12226,12130
12133,12229
12322,12226
12229,12325
12418,12322
12325,12421
12514,12418
12421,12517
12610,12514
12517,12613
12706,12610
12613,12709
12802,12706
12709,12805
12898,12802
12805,12901
12994,12898
12901,12997
13090,12994
12997,13093
13186,13090
13093,13189
13282,13186
13189,13285
13378,13282
13285,13381
13474,13378
13381,13477
13570,13474
13477,13573
13666,13570
13573,13669
13762,13666
13669,13765
13858,13762
13765,13861
13954,13858
13861,13957
14050,13954
13957,14053
14146,14050
14053,14149
14242,14146
14149,14245
14338,14242
14245,14341
14434,14338
14341,14437
14530,14434
14437,14533
14626,14530
14533,14629
14722,14626
14629,14725
14818,14722
14725,14821
14914,14818
14821,14917
15010,14914
14917,15013
15106,15010
15013,15109
15202,15106
15109,15205
15298,15202
15205,15301
15394,15298
15301,15397
15490,15394
15397,15493
15586,15490
15493,15589
15682,15586
15589,15685
15778,15682
15685,15781
15874,15778
15781,15877
15970,15874
15877,15973
16066,15970
15973,16069
16162,16066
16069,16165
16258,16162
16165,16261
16354,16258
16261,16357
16450,16354
16357,16453
16546,16450
16453,16549
16642,16546
16549,16645
16738,16642
16645,16741
16834,16738
16741,16837
16930,16834
16837,16933
17026,16930
16933,17029
17122,17026
17029,17125
17218,17122
17125,17221
17314,17218
17221,17317
17410,17314
17317,17413
17506,17410
17413,17509
17602,17506
17509,17605
17698,17602
17605,17701
17794,17698
17701,17797
17890,17794
17797,17893
17986,17890
17893,17989
18082,17986
17989,18085
18178,18082
18085,18181
18274,18178
18181,18277
18370,18274
18277,18373
18466,18370
18373,18469
18562,18466
18469,18565
18658,18562
18565,18661
18754,18658
18661,18757
18850,18754
18757,18853
18946,18850
18853,18949
19042,18946
18949,19045
19138,19042
19045,19141
19234,19138
19141,19237
19330,19234
19237,19333
19426,19330
19333,19429
19522,19426
19429,19525
19618,19522
19525,19621
19714,19618
19621,19717
19810,19714
19717,19813
19906,19810
19813,19909
20002,19906
19909,20005
20098,20002
20005,20101
20194,20098
20101,20197
20290,20194
20197,20293
20386,20290
20293,20389
20482,20386
20389,20485
20578,20482
20485,20581
20674,20578
20581,20677
20770,20674
20677,20773
20866,20770
20773,20869
20962,20866
20869,20965
21058,20962
20965,21061
21154,21058
21061,21157
21250,21154
21157,21253
21346,21250
21253,21349
21442,21346
21349,21445
21538,21442
21445,21541
21634,21538
21541,21637
21730,21634
21637,21733
21826,21730
21733,21829
21922,21826
21829,21925
22018,21922
21925,22021
22114,22018
22021,22117
22210,22114
22117,22213
22306,22210
22213,22309
22402,22306
22309,22405
22498,22402
22405,22501
22594,22498
22501,22597
22690,22594
22597,22693
22786,22690
22693,22789
22882,22786
22789,22885
22978,22882
22885,22981
23074,22978
22981,23077
23170,23074
23077,23173
23266,23170
23173,23269
23362,23266
23269,23365
23458,23362
23365,23461
23554,23458
23461,23557
23650,23554
23557,23653
23746,23650
23653,23749
23842,23746
23749,23845
23938,23842
23845,23941
24034,23938
23941,24037
24130,24034
24037,24133
24226,24130
24133,24229
24322,24226
24229,24325
24418,24322
24325,24421
24514,24418
24421,24517
24610,24514
24517,24613
24706,24610
24613,24709
24802,24706
24709,24805
24898,24802
24805,24901
24994,24898
24901,24997
25090,24994
24997,25093
25186,25090
25093,25189
25282,25186
25189,25285
25378,25282
25285,25381
25474,25378
25381,25477
25570,25474
25477,25573
25666,25570
25573,25669
25762,25666
25669,25765
25858,25762
25765,25861
25954,25858
25861,25957
26050,25954
25957,26053
26146,26050
26053,26149
26242,26146
26149,26245
26338,26242
26245,26341
26434,26338
26341,26437
26530,26434
26437,26533
26626,26530
26533,26629
26722,26626
26629,26725
26818,26722
26725,26821
26914,26818
26821,26917
27010,26914
26917,27013
27106,27010
27013,27109
27202,27106
27109,27205
27298,27202
27205,27301
27394,27298
27301,27397
27490,27394
27397,27493
27586,27490
27493,27589
27682,27586
27589,27685
27778,27682
27685,27781
27874,27778
27781,27877
27970,27874
27877,27973
28066,27970
27973,28069
28162,28066
28069,28165
28258,28162
28165,28261
28354,28258
28261,28357
28450,28354
28357,28453
28546,28450
28453,28549
28642,28546
28549,28645
28738,28642
28645,28741
28834,28738
28741,28837
28930,28834
28837,28933
29026,28930
28933,29029
29122,29026
29029,29125
29218,29122
29125,29221
29314,29218
29221,29317
29410,29314
29317,29413
29506,29410
29413,29509
29602,29506
29509,29605
29698,29602
29605,29701
29794,29698
29701,29797
29890,29794
29797,29893
29986,29890
29893,29989
