node_1,node_2
1,0
2,1
0,3
4,2
5,4
6,5
3,9
10,11
12,6
9,19
11,20
21,10
23,12
25,23
26,25
19,33
20,34
34,35
37,21
39,26
33,50
35,52
56,37
52,58
59,39
60,59
61,60
50,71
71,75
75,76
80,56
58,84
84,86
76,87
87,88
90,61
91,90
111,80
115,111
88,116
116,117
117,118
118,119
120,115
119,120
86,121
121,122
126,91
122,157
157,158
158,164
165,126
164,202
203,165
205,203
202,239
239,240
243,205
261,243
240,277
277,279
299,261
301,299
279,316
316,318
336,301
340,336
318,356
356,358
379,340
381,379
358,393
419,381
393,430
450,419
430,459
487,450
496,487
459,498
531,496
533,531
534,533
498,537
566,534
571,566
572,571
537,576
607,572
609,607
576,610
643,609
644,643
610,648
678,644
679,678
686,679
687,686
648,688
725,687
727,725
688,728
766,727
768,766
728,769
808,768
810,808
811,810
812,811
769,813
852,812
854,852
855,854
813,856
898,855
856,899
940,898
899,941
980,940
941,981
1015,980
981,1016
1046,1015
1016,1047
1072,1046
1047,1073
1097,1072
1073,1098
1121,1097
1098,1122
1144,1121
1122,1145
1165,1144
1145,1166
1184,1165
1166,1185
1201,1184
1185,1202
1217,1201
1202,1218
1230,1217
1218,1231
1242,1230
1231,1243
1252,1242
1243,1253
1261,1252
1253,1262
1268,1261
1262,1269
1274,1268
1269,1275
1279,1274
1275,1280
1282,1279
1280,1283
1284,1282
1283,1285
1285,1284
