 x,y,velocity
0,0.034645759,9
0,0.01624951,9
0.021479211,0.027651593,9.04043785
0.029721875,0.045681862,9.040160133
0,0.061955203,9
0.037196569,0.073494302,9.033069566
0,0.089264647,9
0,0.971133888,9
0.029434213,0.977712325,9.06054363
0,0.985485323,9
0,0.13379748,9
0.042570332,0.114795175,9.01399691
0,0.948844476,9
0.040329778,0.958332646,9.080052537
0.047098563,0.171978893,9.005551188
0,0.206426715,9
0.049895162,0.257290309,9.00148353
0,0.291977887,9
0.051832092,0.333268136,9.000456631
0,0.367144382,9
0,0.91413456,9
0.040729307,0.92650514,9.034148258
0.052744822,0.399538414,9.000312612
0,0.433572191,9
0.053046406,0.466140099,9.000231659
0,0.5,9
0.04391489,0.884871024,9.014163184
0,0.857225219,9
0.047761266,0.820790362,9.004651576
0,0.790303977,9
0.053149629,0.533069295,9.000241814
0,0.566427809,9
0.052941065,0.59977521,9.000335394
0,0.632855618,9
0.0525348,0.666332293,9.000541744
0,0.70705089,9
0.051700054,0.739150729,9.001375009
2,0.014663694,9.110908031
2,0.029673173,9.174486491
1.97232088,0.022159672,9.15297751
2,0.050923689,9.149533701
1.967434643,0.037624206,9.171737545
2,0.083386078,9.101749393
1.955440543,0.067566758,9.1198209
1.955493118,0.115902643,9.076244199
2,0.139775622,9.061905923
1.952952903,0.177497552,9.047960418
2,0.213304213,9.036347207
1.949190316,0.26285454,9.024922543
2,0.290854251,9.019171685
1.947650505,0.333620176,9.014988658
2,0.367144382,9.011977274
1.946637913,0.399972544,9.011248794
2,0.433572191,9.009940135
1.946347068,0.466615312,9.010153043
2,0.5,9.009528529
1.94625699,0.533251338,9.010219724
2,0.566427809,9.010111372
1.946278654,0.599911449,9.011443608
2,0.632855618,9.012245861
1.946847412,0.666136371,9.015132399
2,0.708145326,9.019300985
1.948368379,0.741847027,9.025615353
2,0.793961419,9.037439745
1.952162122,0.82643457,9.048282691
2,0.871879723,9.066672132
2,0.916633799,9.102993559
1.95531091,0.88619722,9.076566148
2,0.947677174,9.141750412
1.960877584,0.930587173,9.117669601
2,0.9698533,9.166653895
1.97027288,0.958160363,9.155234219
2,0.984441741,9.145008719
1.978299044,0.975929619,9.163792095
0.03507048,0.016436216,9.164354847
0.050178329,0.030385715,9.217418856
0.070153879,0.016666197,9.46962177
0.076132395,0.029654663,9.350874367
0.105243619,0.016864577,9.477325285
0.179822373,0.029130776,9.331749702
0.175428805,0.017162675,9.390354388
0.210523779,0.017188839,9.370551683
0.110281724,0.028457957,9.370548073
0.140334832,0.017013626,9.423049966
0.143701646,0.028948687,9.345185788
0.108281134,0.04126499,9.278036045
0.069612146,0.049792577,9.154945121
0.035063921,0.985485323,9.180577858
0.065430173,0.974051128,9.271968569
0.07012749,0.985002367,9.446950074
0.221501646,0.030298377,9.31704092
0.245613633,0.017163884,9.353015124
0.20692302,0.046498244,9.218841163
0.173424757,0.044040372,9.241241603
0.13751935,0.044295719,9.250494198
0.193042265,0.062652715,9.167698799
0.114633292,0.063771115,9.156793228
0.080994362,0.08512258,9.073978758
0.094354888,0.97326928,9.334453995
0.105205623,0.984425124,9.433981583
0.073718594,0.962244653,9.218467681
0.25018973,0.030145413,9.314886453
0.280699583,0.017164069,9.340288272
0.240561719,0.048238493,9.20517827
0.284713725,0.029834094,9.313048727
0.31578608,0.017206616,9.33168215
