node_1,node_2,node_3,node_4
3,0,7,1
7,1,8,2
8,2,13,4
13,4,14,5
14,5,15,6
9,3,16,7
16,7,17,8
21,22,10,11
15,6,24,12
17,8,27,13
27,13,28,14
28,14,29,15
22,36,11,20
38,22,37,21
40,24,23,12
15,24,29,41
40,23,42,25
42,25,43,26
36,51,20,34
51,53,34,35
38,54,22,36
43,26,62,39
63,41,40,24
65,63,42,40
65,42,66,43
54,77,36,51
53,78,35,52
77,79,51,53
78,85,52,58
62,39,89,59
92,89,60,59
92,60,93,61
66,43,94,62
79,109,53,78
85,123,58,84
109,124,78,85
123,125,84,86
62,89,94,129
93,61,130,90
130,90,131,91
132,129,92,89
133,132,93,92
125,159,86,121
160,122,159,121
124,161,85,123
161,163,123,125
131,91,166,126
133,93,170,130
170,130,171,131
194,157,160,122
195,158,194,157
125,163,159,196
159,196,160,197
201,164,195,158
166,126,204,165
171,131,206,166
230,194,197,160
231,195,230,194
237,201,231,195
238,202,201,164
204,165,241,203
206,166,242,204
241,203,244,205
275,238,237,201
276,239,238,202
276,278,239,240
242,204,280,241
244,205,282,243
280,241,283,244
282,243,300,261
313,276,275,238
278,314,240,277
313,315,276,278
314,317,277,279
283,244,321,282
300,261,337,299
321,282,338,300
339,337,301,299
315,352,278,314
317,354,279,316
352,355,314,317
357,318,354,316
375,339,336,301
337,376,300,338
378,376,339,337
380,375,340,336
355,394,317,354
396,356,357,318
354,394,357,397
398,358,396,356
413,378,375,339
417,380,379,340
418,413,380,375
417,379,420,381
398,431,358,393
434,396,397,357
436,398,434,396
455,418,417,380
420,381,457,419
455,417,458,420
431,466,393,430
436,467,398,431
457,419,488,450
458,420,494,457
466,497,430,459
467,504,431,466
488,450,523,487
494,457,524,488
532,523,496,487
504,535,466,497
536,498,497,459
524,488,558,523
567,532,531,496
523,532,558,568
569,567,533,531
570,569,534,533
574,536,535,497
575,537,536,498
601,570,566,534
602,568,567,532
604,602,569,567
605,604,570,569
606,601,571,566
608,606,572,571
613,575,574,536
614,576,575,537
614,615,576,610
637,605,601,570
642,637,606,601
608,572,645,607
646,642,608,606
645,607,647,609
652,614,613,575
652,653,614,615
615,654,610,648
647,609,681,643
681,643,682,644
646,608,683,645
683,645,685,647
654,693,648,688
653,695,615,654
682,644,716,678
716,678,717,679
685,647,719,681
719,681,720,682
717,679,724,686
724,686,726,687
693,729,688,728
695,733,654,693
720,682,755,716
755,716,756,717
717,724,756,763
726,687,764,725
763,724,765,726
767,764,727,725
770,769,729,728
693,733,729,771
764,804,726,765
806,767,766,727
807,804,767,764
806,766,809,768
770,777,769,813
814,770,771,729
814,820,770,777
846,807,806,767
848,809,808,768
809,849,806,846
850,848,810,808
851,850,811,810
853,851,812,811
777,819,813,856
820,862,777,819
862,865,819,857
848,890,809,849
892,890,850,848
893,892,851,850
894,853,852,812
895,893,853,851
896,894,854,852
897,896,855,854
819,857,856,899
865,908,857,900
936,895,894,853
938,936,896,894
939,938,897,896
855,898,897,940
857,900,899,941
908,910,900,942
939,897,980,940
900,942,941,981
910,952,942,982
942,982,981,1016
952,983,982,1017
982,1017,1016,1047
983,1018,1017,1048
1017,1048,1047,1073
1018,1049,1048,1074
1048,1074,1073,1098
1099,1074,1075,1049
1074,1099,1098,1122
1123,1099,1100,1075
1123,1145,1099,1122
1124,1146,1100,1123
1146,1166,1123,1145
1147,1167,1124,1146
1167,1185,1146,1166
1168,1186,1147,1167
1186,1202,1167,1185
1187,1203,1168,1186
1203,1218,1186,1202
1204,1219,1187,1203
1219,1231,1203,1218
1220,1232,1204,1219
1232,1243,1219,1231
1233,1244,1220,1232
1244,1253,1232,1243
1254,1244,1245,1233
1254,1262,1244,1253
1255,1263,1245,1254
1263,1269,1254,1262
1264,1270,1255,1263
1270,1275,1263,1269
1271,1276,1264,1270
1276,1280,1270,1275
1277,1281,1271,1276
1281,1283,1276,1280
1277,1282,1281,1284
1281,1284,1283,1285
